Wall time,Step,Value
1540210247.993261,0,0.109375
1540210248.232486,10,0.0859375
1540210248.320687,20,0.0625
1540210248.404577,30,0.078125
1540210248.489158,40,0.0859375
1540210248.573288,50,0.140625
1540210248.657305,60,0.1171875
1540210248.740897,70,0.109375
1540210248.825214,80,0.171875
1540210248.909781,90,0.1796875
1540210248.995729,100,0.1953125
1540210249.078908,110,0.1015625
1540210249.162615,120,0.1328125
1540210249.245974,130,0.1484375
1540210249.329726,140,0.21875
1540210249.413262,150,0.1484375
1540210249.496734,160,0.25
1540210249.579926,170,0.203125
1540210249.663256,180,0.21875
1540210249.746457,190,0.21875
1540210249.830777,200,0.171875
1540210249.91546,210,0.2109375
1540210249.999357,220,0.21875
1540210250.082285,230,0.1875
1540210250.166497,240,0.1484375
1540210250.25014,250,0.25
1540210250.333626,260,0.203125
1540210250.41751,270,0.3203125
1540210250.499733,280,0.2421875
1540210250.584955,290,0.203125
1540210250.669314,300,0.2265625
1540210250.752152,310,0.1953125
1540210250.836191,320,0.1875
1540210250.918422,330,0.2890625
1540210251.00135,340,0.21875
1540210251.084093,350,0.2578125
1540210251.167181,360,0.25
1540210251.252155,370,0.1953125
1540210251.336253,380,0.296875
1540210251.420465,390,0.1953125
1540210251.503615,400,0.25
1540210251.588434,410,0.34375
1540210251.672681,420,0.28125
1540210251.75656,430,0.1953125
1540210251.840232,440,0.28125
1540210251.923369,450,0.234375
1540210252.007269,460,0.25
1540210252.091655,470,0.28125
1540210252.174583,480,0.296875
1540210252.258371,490,0.234375
1540210252.342805,500,0.265625
1540210252.426045,510,0.3203125
1540210252.510133,520,0.2421875
1540210252.594992,530,0.2890625
1540210252.678814,540,0.234375
1540210252.763541,550,0.2578125
1540210252.848451,560,0.265625
1540210252.933047,570,0.265625
1540210253.016924,580,0.3203125
1540210253.099769,590,0.328125
1540210253.182649,600,0.1953125
1540210253.265394,610,0.2265625
1540210253.349179,620,0.2578125
1540210253.434055,630,0.234375
1540210253.518363,640,0.3046875
1540210253.602867,650,0.3046875
1540210253.685945,660,0.3046875
1540210253.769912,670,0.328125
1540210253.855266,680,0.265625
1540210253.938947,690,0.234375
1540210254.022751,700,0.3046875
1540210254.107949,710,0.2578125
1540210254.191029,720,0.3125
1540210254.274026,730,0.2421875
1540210254.357193,740,0.2421875
1540210254.440683,750,0.265625
1540210254.523528,760,0.234375
1540210254.608092,770,0.296875
1540210254.691409,780,0.3203125
1540210254.775469,790,0.3984375
1540210254.859555,800,0.2734375
1540210254.943525,810,0.265625
1540210255.026795,820,0.2578125
1540210255.111164,830,0.2265625
1540210255.196489,840,0.2578125
1540210255.280967,850,0.3046875
1540210255.365992,860,0.28125
1540210255.449479,870,0.2734375
1540210255.533512,880,0.3046875
1540210255.616679,890,0.265625
1540210255.699342,900,0.265625
1540210255.78314,910,0.3203125
1540210255.867083,920,0.328125
1540210255.95059,930,0.25
1540210256.034152,940,0.3046875
1540210256.117885,950,0.2578125
1540210256.203158,960,0.2578125
1540210256.287636,970,0.2265625
1540210256.372669,980,0.34375
1540210256.457957,990,0.3203125
1540210256.541648,1000,0.3671875
1540210257.018454,1010,0.265625
