Wall time,Step,Value
1542800614.054985,0,2.3478147983551025
1542800614.514949,11,2.3083815574645996
1542800614.779393,22,2.175283670425415
1542800615.043609,33,2.0882320404052734
1542800615.306,44,1.8937634229660034
1542800615.568113,55,1.7153019905090332
1542800615.83338,66,1.6277155876159668
1542800616.095737,77,1.661646842956543
1542800616.360454,88,1.5243802070617676
1542800616.623826,99,1.6004290580749512
1542800616.885931,110,1.5808722972869873
1542800617.155859,121,1.5077006816864014
1542800617.416143,132,1.2891780138015747
1542800617.675835,143,1.221057653427124
1542800617.936291,154,1.4375308752059937
1542800618.196789,165,1.4495352506637573
1542800618.456893,176,1.431049108505249
1542800618.72028,187,1.2487866878509521
1542800618.981593,198,1.32785964012146
1542800619.243177,209,1.3021119832992554
1542800619.503517,220,1.267913818359375
1542800619.771355,231,1.3396193981170654
1542800620.031999,242,1.2685877084732056
1542800620.292855,253,1.3486874103546143
1542800620.552904,264,1.2767739295959473
1542800620.814926,275,1.256950855255127
1542800621.076297,286,1.2128933668136597
1542800621.336741,297,1.1258013248443604
1542800621.596736,308,1.1140002012252808
1542800621.857702,319,1.1107146739959717
1542800622.118002,330,1.083683967590332
1542800622.386066,341,1.1522023677825928
1542800622.647855,352,1.0860297679901123
1542800622.907478,363,1.18389892578125
1542800623.168895,374,1.1152955293655396
1542800623.429041,385,1.0363874435424805
1542800623.689576,396,1.1285157203674316
1542800623.949575,407,1.0790345668792725
1542800624.210218,418,0.9992742538452148
1542800624.47017,429,1.1251517534255981
1542800624.730822,440,0.9479537606239319
1542800624.998196,451,1.076161503791809
1542800625.258398,462,0.9981339573860168
1542800625.51901,473,0.9811645746231079
1542800625.778754,484,1.0066968202590942
1542800626.038817,495,0.9721227884292603
1542800626.300177,506,0.9947363138198853
1542800626.560713,517,0.9342362880706787
1542800626.822676,528,0.936587393283844
1542800627.084293,539,0.9860000610351562
1542800627.344942,550,1.0375463962554932
1542800627.614672,561,0.9558857679367065
1542800627.875429,572,0.9694957137107849
1542800628.13607,583,0.9025031328201294
1542800628.398992,594,0.9017783403396606
1542800628.659671,605,0.8276740312576294
1542800628.919616,616,0.8235921859741211
1542800629.182137,627,0.8876537084579468
1542800629.443046,638,0.8970605134963989
1542800629.70281,649,0.8922529220581055
1542800629.963832,660,0.8450936079025269
1542800630.232833,671,0.7781238555908203
1542800630.494306,682,0.91045081615448
1542800630.754258,693,0.8493685722351074
1542800631.014408,704,0.8702784776687622
1542800631.273662,715,0.9365409016609192
1542800631.534927,726,0.7956336140632629
1542800631.795245,737,0.8405174612998962
1542800632.056063,748,0.8130637407302856
1542800632.316815,759,0.805727481842041
1542800632.577086,770,0.78533536195755
1542800632.84744,781,0.865839958190918
1542800633.107641,792,0.8293690085411072
1542800633.368309,803,0.8135777115821838
1542800633.628451,814,0.821785569190979
1542800633.890174,825,0.7928335666656494
1542800634.149731,836,0.7612735033035278
1542800634.410354,847,0.7304813265800476
1542800634.670035,858,0.7786880135536194
1542800634.930943,869,0.774038553237915
1542800635.190887,880,0.7263100743293762
1542800635.458658,891,0.7696245312690735
1542800635.719905,902,0.8388394713401794
1542800635.981609,913,0.8234589695930481
1542800636.241905,924,0.6975595951080322
1542800636.503129,935,0.7448371648788452
1542800636.763911,946,0.6477877497673035
1542800637.025477,957,0.6813294291496277
1542800637.285961,968,0.6880608201026917
1542800637.546171,979,0.6670454144477844
1542800637.808001,990,0.6503626108169556
1542800638.211749,1001,0.6910665035247803
1542800638.473283,1012,0.7658555507659912
1542800638.735422,1023,0.7104018330574036
1542800638.995468,1034,0.8705132007598877
1542800639.257347,1045,0.7169645428657532
1542800639.520465,1056,0.6597672700881958
1542800639.782329,1067,0.5902591943740845
1542800640.044409,1078,0.6964600682258606
1542800640.305465,1089,0.5855756998062134
1542800640.565844,1100,0.6146072149276733
1542800640.833315,1111,0.6026516556739807
1542800641.093564,1122,0.7007336616516113
1542800641.356231,1133,0.6493610143661499
1542800641.616011,1144,0.6458019614219666
1542800641.877465,1155,0.5929584503173828
1542800642.138019,1166,0.6017746925354004
1542800642.399905,1177,0.509593665599823
1542800642.661738,1188,0.6670373678207397
1542800642.921743,1199,0.577661395072937
1542800643.185573,1210,0.667847752571106
1542800643.45395,1221,0.5598552227020264
1542800643.714729,1232,0.6774747371673584
1542800643.975459,1243,0.6515649557113647
1542800644.23692,1254,0.5062509179115295
1542800644.496565,1265,0.5137352347373962
1542800644.75691,1276,0.5260704755783081
1542800645.017328,1287,0.5620823502540588
1542800645.278894,1298,0.6112959980964661
1542800645.539739,1309,0.6083365678787231
1542800645.800156,1320,0.5759252309799194
1542800646.068788,1331,0.5751491785049438
1542800646.330353,1342,0.5648003220558167
1542800646.591032,1353,0.5816883444786072
1542800646.852715,1364,0.44437792897224426
1542800647.115926,1375,0.4822161793708801
1542800647.376366,1386,0.4710153341293335
1542800647.636679,1397,0.4803087115287781
1542800647.897708,1408,0.39372068643569946
1542800648.158144,1419,0.47837933897972107
1542800648.417708,1430,0.5251917243003845
1542800648.685267,1441,0.5878704786300659
1542800648.946297,1452,0.4916539192199707
1542800649.206002,1463,0.48753079771995544
1542800649.466829,1474,0.44815734028816223
1542800649.727823,1485,0.5139903426170349
1542800649.987968,1496,0.5703396797180176
1542800650.248726,1507,0.5111888647079468
1542800650.50936,1518,0.5732325315475464
1542800650.769866,1529,0.5106122493743896
1542800651.030246,1540,0.42615416646003723
1542800651.297956,1551,0.44091343879699707
1542800651.55941,1562,0.4735012352466583
1542800651.82039,1573,0.532886266708374
1542800652.080661,1584,0.44010815024375916
1542800652.341719,1595,0.5190722346305847
1542800652.601751,1606,0.4184640347957611
